"table_schema	table_name	column_name	ordinal_position	data_type"
"useall_silver	atendimentodereq_silver	DESC_FILIAL	1	text"
"useall_silver	atendimentodereq_silver	ENDERECO_FILIAL	2	text"
"useall_silver	atendimentodereq_silver	CEP_FILIAL	3	text"
"useall_silver	atendimentodereq_silver	FAX_FILIAL	4	text"
"useall_silver	atendimentodereq_silver	FONE_FILIAL	5	text"
"useall_silver	atendimentodereq_silver	CPF_CNPJ_FILIAL	6	text"
"useall_silver	atendimentodereq_silver	INSC_ESTADUAL_FILIAL	7	bigint"
"useall_silver	atendimentodereq_silver	CIDADE_FILIAL	8	text"
"useall_silver	atendimentodereq_silver	UF_FILIAL	9	text"
"useall_silver	atendimentodereq_silver	DATA_ATEND	10	timestamp without time zone"
"useall_silver	atendimentodereq_silver	IDEMPREGADO_ATEND	11	bigint"
"useall_silver	atendimentodereq_silver	QUANT_ATEND	12	numeric"
"useall_silver	atendimentodereq_silver	IDEMPRESA	13	bigint"
"useall_silver	atendimentodereq_silver	IDFILIAL	14	bigint"
"useall_silver	atendimentodereq_silver	IDREQMAT	15	bigint"
"useall_silver	atendimentodereq_silver	NUMEROOS	16	bigint"
"useall_silver	atendimentodereq_silver	NUMEROPROCSERV	17	numeric"
"useall_silver	atendimentodereq_silver	NUMEROOP	18	text"
"useall_silver	atendimentodereq_silver	DATA_REQ	19	timestamp without time zone"
"useall_silver	atendimentodereq_silver	IDALMOX	20	bigint"
"useall_silver	atendimentodereq_silver	TIPO	21	boolean"
"useall_silver	atendimentodereq_silver	DESC_ALMOX	22	text"
"useall_silver	atendimentodereq_silver	IDREQUISITANTE	23	numeric"
"useall_silver	atendimentodereq_silver	REQUISITANTE	24	text"
"useall_silver	atendimentodereq_silver	SIGLA_UN	25	text"
"useall_silver	atendimentodereq_silver	IDITEM	26	bigint"
"useall_silver	atendimentodereq_silver	IDENTIFICACAO	27	text"
"useall_silver	atendimentodereq_silver	DESCRICAO	28	text"
"useall_silver	atendimentodereq_silver	IDGRUPOITEM	29	bigint"
"useall_silver	atendimentodereq_silver	IDATENDREQMATITEM	30	bigint"
"useall_silver	atendimentodereq_silver	IDGRUPOPAI	31	numeric"
"useall_silver	atendimentodereq_silver	DESC_GRUPO	32	text"
"useall_silver	atendimentodereq_silver	EMPREGADO_ATEND	33	text"
"useall_silver	atendimentodereq_silver	IDCONTACDC	34	numeric"
"useall_silver	atendimentodereq_silver	IDCONTACAR	35	text"
"useall_silver	atendimentodereq_silver	DESCRICAOCONTACDC	36	text"
"useall_silver	atendimentodereq_silver	CLASSIFICACAOCDC	37	text"
"useall_silver	atendimentodereq_silver	DESCRICAOCONTACAR	38	text"
"useall_silver	atendimentodereq_silver	CLASSIFICACAOCAR	39	text"
"useall_silver	atendimentodereq_silver	ESTOQUEFECHADO	40	numeric"
"useall_silver	atendimentodereq_silver	CUSTOMEDIO	41	numeric"
"useall_silver	atendimentodereq_silver	QUANTLOTE	42	numeric"
"useall_silver	atendimentodereq_silver	QUANT_ATEND_LOTE	43	numeric"
"useall_silver	atendimentodereq_silver	NUMLOTE	44	boolean"
"useall_silver	atendimentodereq_silver	IDREQMATTENANT	45	numeric"
"useall_silver	cidades_silver	IDCIDADE	1	bigint"
"useall_silver	cidades_silver	DATAHORAALTERACAO	2	timestamp without time zone"
"useall_silver	cidades_silver	NOME	3	text"
"useall_silver	cidades_silver	MUNICIPIO_IBGE	4	bigint"
"useall_silver	cidades_silver	IDNFSE	5	numeric"
"useall_silver	cidades_silver	CODIGORFB	6	numeric"
"useall_silver	cidades_silver	DATAHORACAD	7	timestamp without time zone"
"useall_silver	cidades_silver	CODIBGE	8	bigint"
"useall_silver	cidades_silver	SIGLA	9	text"
"useall_silver	clientesfornecedore_silver	IDCLIFOREMP	1	bigint"
"useall_silver	clientesfornecedore_silver	DATAHORAALTERACAO	2	timestamp without time zone"
"useall_silver	clientesfornecedore_silver	IDCLIFOREMPTENANT	3	bigint"
"useall_silver	clientesfornecedore_silver	DATAHORACAD	4	text"
"useall_silver	clientesfornecedore_silver	NOMEFANTASIA	5	text"
"useall_silver	clientesfornecedore_silver	RAZAOSOCIAL	6	text"
"useall_silver	clientesfornecedore_silver	CNPJCPF	7	bigint"
"useall_silver	clientesfornecedore_silver	FONE	8	text"
"useall_silver	clientesfornecedore_silver	EMAIL	9	text"
"useall_silver	clientesfornecedore_silver	IE	10	text"
"useall_silver	clientesfornecedore_silver	RG	11	text"
"useall_silver	clientesfornecedore_silver	OBS	12	text"
"useall_silver	clientesfornecedore_silver	ISUFRAMA	13	bigint"
"useall_silver	clientesfornecedore_silver	ATIVO	14	boolean"
"useall_silver	clientesfornecedore_silver	CONTRIBICMS	15	boolean"
"useall_silver	clientesfornecedore_silver	IDTRANSP	16	numeric"
"useall_silver	clientesfornecedore_silver	CEP	17	text"
"useall_silver	clientesfornecedore_silver	IDCIDADE	18	bigint"
"useall_silver	clientesfornecedore_silver	ENDERECO	19	text"
"useall_silver	clientesfornecedore_silver	NUMENDERECO	20	text"
"useall_silver	clientesfornecedore_silver	BAIRRO	21	text"
"useall_silver	clientesfornecedore_silver	COMPLENDERECO	22	text"
"useall_silver	clientesfornecedore_silver	CEPENT	23	text"
"useall_silver	clientesfornecedore_silver	IDCIDADEENT	24	bigint"
"useall_silver	clientesfornecedore_silver	ENDERECOENT	25	text"
"useall_silver	clientesfornecedore_silver	NUMENDERECOENT	26	text"
"useall_silver	clientesfornecedore_silver	BAIRROENT	27	text"
"useall_silver	clientesfornecedore_silver	COMPLENDERECOENT	28	text"
"useall_silver	clientesfornecedore_silver	CEPCOB	29	text"
"useall_silver	clientesfornecedore_silver	IDCIDADECOB	30	bigint"
"useall_silver	clientesfornecedore_silver	ENDERECOCOB	31	text"
"useall_silver	clientesfornecedore_silver	NUMENDERECOCOB	32	text"
"useall_silver	clientesfornecedore_silver	BAIRROCOB	33	text"
"useall_silver	clientesfornecedore_silver	COMPLENDERECOCOB	34	text"
"useall_silver	clientesfornecedore_silver	LATITUDE	35	numeric"
"useall_silver	clientesfornecedore_silver	LONGITUDE	36	numeric"
"useall_silver	clientesfornecedore_silver	DATALIMCREDITO	37	text"
"useall_silver	clientesfornecedore_silver	VALORLIMCREDITO	38	numeric"
"useall_silver	clientesfornecedore_silver	IDRISCOCREDITO	39	numeric"
"useall_silver	clientesfornecedore_silver	IDTABPRECOVENDA	40	numeric"
"useall_silver	clientesfornecedore_silver	IDCONDPAGTO	41	numeric"
"useall_silver	clientesfornecedore_silver	IDFORMAPAGTO	42	numeric"
"useall_silver	clientesfornecedore_silver	IDVENDEDOR	43	numeric"
"useall_silver	clientesfornecedore_silver	IDSUPERVISOR	44	numeric"
"useall_silver	clientesfornecedore_silver	SEGMENTO	45	text"
"useall_silver	clientesfornecedore_silver	IDPAIS	46	boolean"
"useall_silver	clientesfornecedore_silver	CLIENTE	47	text"
"useall_silver	clientesfornecedore_silver	EMPREGADO	48	text"
"useall_silver	clientesfornecedore_silver	FORNECEDOR	49	text"
"useall_silver	clientesfornecedore_silver	VENDEDOR_REPRESENTANTE	50	text"
"useall_silver	clientesfornecedore_silver	TRANSPORTADOR	51	text"
"useall_silver	clientesfornecedore_silver	TIPOPESSOA	52	text"
"useall_silver	clientesfornecedore_silver	REGIMETRIB	53	text"
"useall_silver	clientesfornecedore_silver	TIPOFRETE	54	text"
"useall_silver	empresas_silver	IDEMPRESA	1	bigint"
"useall_silver	empresas_silver	DATAHORAALT	2	timestamp without time zone"
"useall_silver	empresas_silver	CNPJCPF	3	bigint"
"useall_silver	empresas_silver	RAZAOSOCIAL	4	text"
"useall_silver	empresas_silver	NOMEFANTASIA	5	text"
"useall_silver	empresas_silver	IE	6	text"
"useall_silver	empresas_silver	IM	7	text"
"useall_silver	empresas_silver	ENDERECO	8	text"
"useall_silver	empresas_silver	BAIRRO	9	text"
"useall_silver	empresas_silver	CEP	10	bigint"
"useall_silver	empresas_silver	FONE	11	bigint"
"useall_silver	empresas_silver	FAX	12	bigint"
"useall_silver	empresas_silver	EMAIL	13	text"
"useall_silver	empresas_silver	IDCIDADE	14	bigint"
"useall_silver	estoque_silver	IDSECAO	1	numeric"
"useall_silver	estoque_silver	IDFILIAL	2	bigint"
"useall_silver	estoque_silver	IDEMPRESA	3	bigint"
"useall_silver	estoque_silver	IDALMOX	4	bigint"
"useall_silver	estoque_silver	TIPOALMOX	5	bigint"
"useall_silver	estoque_silver	DESC_ALMOX	6	text"
"useall_silver	estoque_silver	IDUN	7	bigint"
"useall_silver	estoque_silver	IDITEM	8	bigint"
"useall_silver	estoque_silver	IDENTIFICACAO	9	text"
"useall_silver	estoque_silver	DESC_ITEM	10	text"
"useall_silver	estoque_silver	IDMARCA	11	numeric"
"useall_silver	estoque_silver	IDTIPOITEM	12	bigint"
"useall_silver	estoque_silver	IDGRUPOITEM	13	bigint"
"useall_silver	estoque_silver	CLASSIFICACAO	14	bigint"
"useall_silver	estoque_silver	DESC_GRUPO	15	text"
"useall_silver	estoque_silver	DESC_MARCA	16	text"
"useall_silver	estoque_silver	SALDOFISICO	17	numeric"
"useall_silver	estoque_silver	QUANTRESERVADA	18	numeric"
"useall_silver	estoque_silver	SALDODISPONIVEL	19	numeric"
"useall_silver	estoque_silver	ESTOQUEMIN	20	numeric"
"useall_silver	estoque_silver	ESTOQUEMAX	21	numeric"
"useall_silver	estoque_silver	DESC_TIPOITEM	22	text"
"useall_silver	estoque_silver	SIGLA	23	text"
"useall_silver	estoque_silver	POSICAO	24	numeric"
"useall_silver	expedição_silver	CODIGOFAT	1	bigint"
"useall_silver	expedição_silver	DATAHORACAD	2	timestamp without time zone"
"useall_silver	expedição_silver	DATAENTREGA	3	text"
"useall_silver	expedição_silver	CONFERENCIA	4	text"
"useall_silver	expedição_silver	ORIGEMCONFERENCIA	5	numeric"
"useall_silver	expedição_silver	DESCRICAOORIGEMCONFERENCIA	6	text"
"useall_silver	expedição_silver	ORIGEM	7	text"
"useall_silver	expedição_silver	CODIGOOIRIGEM	8	bigint"
"useall_silver	expedição_silver	NUMERODOC	9	bigint"
"useall_silver	expedição_silver	NUMEROPEDIDOCLIENTE	10	text"
"useall_silver	expedição_silver	CODIGOCLIENTE	11	numeric"
"useall_silver	expedição_silver	RAZAOCLIENTE	12	text"
"useall_silver	expedição_silver	ENDERECO	13	text"
"useall_silver	expedição_silver	CEP	14	bigint"
"useall_silver	expedição_silver	CIDADE	15	text"
"useall_silver	expedição_silver	UF	16	text"
"useall_silver	expedição_silver	ENDERECOENTREGA	17	text"
"useall_silver	expedição_silver	CEPENTREGA	18	bigint"
"useall_silver	expedição_silver	CIDADEENTREGA	19	text"
"useall_silver	expedição_silver	UFENTREGA	20	text"
"useall_silver	expedição_silver	CODIGOTRANSP	21	numeric"
"useall_silver	expedição_silver	RAZAOTRANSP	22	text"
"useall_silver	expedição_silver	RAWTOGUID(GUIDLOTE)	23	text"
"useall_silver	expedição_silver	CARGA	24	text"
"useall_silver	expedição_silver	CODIGOUSUARIO	25	numeric"
"useall_silver	expedição_silver	NOMEUSUARIO	26	text"
"useall_silver	expedição_silver	CODIGOGRUPOEMPRESARIAL	27	numeric"
"useall_silver	expedição_silver	DESCRICAOGRUPOEMPRESARIAL	28	text"
"useall_silver	expedição_silver	NUMEROITEMPEDIDOCLIENTE	29	text"
"useall_silver	expedição_silver	SEQ	30	bigint"
"useall_silver	expedição_silver	IDENTIFICACAO	31	text"
"useall_silver	expedição_silver	DESCRICAO	32	text"
"useall_silver	expedição_silver	UNIDADE	33	text"
"useall_silver	expedição_silver	QUANTSELECIONADA	34	numeric"
"useall_silver	expedição_silver	QUANTCONFERIDA	35	numeric"
"useall_silver	expedição_silver	SALDO	36	numeric"
"useall_silver	expedição_silver	ORDEM	37	boolean"
"useall_silver	expedição_silver	CODIGOFILIAL	38	bigint"
"useall_silver	expedição_silver	CODIGOEMPRESA	39	bigint"
"useall_silver	expedição_silver	PLACA	40	text"
"useall_silver	expedição_silver	ORDEMENTREGA	41	text"
"useall_silver	expedição_silver	DATAPREVCARREG	42	text"
"useall_silver	expedição_silver	STATUSCONF	43	bigint"
"useall_silver	expedição_silver	CODIGOTRANSPTENANT	44	numeric"
"useall_silver	expedição_silver	DATAHORAPREPARACAO	45	text"
"useall_silver	expedição_silver	IDPEDITEM	46	bigint"
"useall_silver	filiais_silver	IDFILIAL	1	bigint"
"useall_silver	filiais_silver	DATAHORAALT	2	timestamp without time zone"
"useall_silver	filiais_silver	IDEMPRESA	3	bigint"
"useall_silver	filiais_silver	MATRIZ	4	boolean"
"useall_silver	filiais_silver	APELIDO	5	text"
"useall_silver	itens_silver	IDITEM	1	bigint"
"useall_silver	itens_silver	DATAHORAALTERACAO	2	timestamp without time zone"
"useall_silver	itens_silver	IDENTIFICACAO	3	text"
"useall_silver	itens_silver	DESCRICAO	4	text"
"useall_silver	itens_silver	IDCLASSFISCAL	5	bigint"
"useall_silver	itens_silver	IDUN	6	bigint"
"useall_silver	itens_silver	IDUNVENDA	7	numeric"
"useall_silver	itens_silver	QUANTEMBVENDA	8	numeric"
"useall_silver	itens_silver	PESOBRUTO	9	numeric"
"useall_silver	itens_silver	PESOLIQ	10	numeric"
"useall_silver	itens_silver	OBS	11	text"
"useall_silver	itens_silver	ATIVO	12	boolean"
"useall_silver	itens_silver	COMPLEMENTO	13	text"
"useall_silver	itens_silver	IDGRUPOITEM	14	numeric"
"useall_silver	itens_silver	IDTIPOITEM	15	bigint"
"useall_silver	itens_silver	QUANTMINVENDA	16	numeric"
"useall_silver	itens_silver	CODBARRA	17	bigint"
"useall_silver	itens_silver	LIBERADO	18	text"
"useall_silver	itens_silver	FORMATOCODBAR	19	numeric"
"useall_silver	requisicoes_silver	DESC_FILIAL	1	text"
"useall_silver	requisicoes_silver	ENDERECO_FILIAL	2	text"
"useall_silver	requisicoes_silver	CEP_FILIAL	3	text"
"useall_silver	requisicoes_silver	FAX_FILIAL	4	text"
"useall_silver	requisicoes_silver	FONE_FILIAL	5	text"
"useall_silver	requisicoes_silver	CPF_CNPJ_FILIAL	6	text"
"useall_silver	requisicoes_silver	INSC_ESTADUAL_FILIAL	7	text"
"useall_silver	requisicoes_silver	CIDADE_FILIAL	8	text"
"useall_silver	requisicoes_silver	UF_FILIAL	9	text"
"useall_silver	requisicoes_silver	IDEMPRESA	10	bigint"
"useall_silver	requisicoes_silver	IDFILIAL	11	bigint"
"useall_silver	requisicoes_silver	IDREQMAT	12	bigint"
"useall_silver	requisicoes_silver	IDREQMATTENANT	13	bigint"
"useall_silver	requisicoes_silver	DATA	14	timestamp without time zone"
"useall_silver	requisicoes_silver	DATAPREVATEND	15	timestamp without time zone"
"useall_silver	requisicoes_silver	IDALMOX	16	bigint"
"useall_silver	requisicoes_silver	STATUS	17	bigint"
"useall_silver	requisicoes_silver	TIPO	18	boolean"
"useall_silver	requisicoes_silver	DESC_ALMOX	19	text"
"useall_silver	requisicoes_silver	SIGLA_ALMOX	20	text"
"useall_silver	requisicoes_silver	IDTENANT	21	bigint"
"useall_silver	requisicoes_silver	IDREQMATITEM	22	bigint"
"useall_silver	requisicoes_silver	QUANT	23	numeric"
"useall_silver	requisicoes_silver	QUANTCANCEL	24	numeric"
"useall_silver	requisicoes_silver	QUANTATEND	25	numeric"
"useall_silver	requisicoes_silver	QUANTSUBST	26	numeric"
"useall_silver	requisicoes_silver	SALDO	27	numeric"
"useall_silver	requisicoes_silver	IDREQUISITANTE	28	numeric"
"useall_silver	requisicoes_silver	REQUISITANTE	29	text"
"useall_silver	requisicoes_silver	SIGLA_UN	30	text"
"useall_silver	requisicoes_silver	IDITEM	31	bigint"
"useall_silver	requisicoes_silver	IDENTIFICACAO	32	text"
"useall_silver	requisicoes_silver	DESCRICAO	33	text"
"useall_silver	requisicoes_silver	IDGRUPOITEM	34	bigint"
"useall_silver	requisicoes_silver	IDCONTACDC	35	numeric"
"useall_silver	requisicoes_silver	CLASSIFICACAOGRUPOITEM	36	bigint"
"useall_silver	requisicoes_silver	DESC_GRUPO	37	text"
"useall_silver	requisicoes_silver	DESCRICAOCONTACDC	38	text"
"useall_silver	requisicoes_silver	CLASSIFICACAOCONTACDC	39	text"
"useall_silver	solcompra_silver	IDSOLICCOMPRA	1	bigint"
"useall_silver	solcompra_silver	IDEMPRESA	2	bigint"
"useall_silver	solcompra_silver	IDFILIAL	3	bigint"
"useall_silver	solcompra_silver	NUMERO	4	bigint"
"useall_silver	solcompra_silver	IDSOLICITANTE	5	bigint"
"useall_silver	solcompra_silver	OBS	6	text"
"useall_silver	solcompra_silver	STATUS	7	text"
"useall_silver	solcompra_silver	PRIMEIRADATANECESSIDADE	8	timestamp without time zone"
"useall_silver	solcompra_silver	FINALIDADE	9	text"
"useall_silver	solcompra_silver	IDSOLICCOMPRAITEM	10	bigint"
"useall_silver	solcompra_silver	IDENTIFICACAO	11	bigint"
"useall_silver	solcompra_silver	IDUN	12	bigint"
"useall_silver	solcompra_silver	QUANT	13	numeric"
"useall_silver	solcompra_silver	DATANECESSIDADE	14	timestamp without time zone"
"useall_silver	solcompra_silver	COMPLEMENTO	15	text"
"useall_silver	solcompra_silver	SALDO	16	numeric"
"useall_silver	solcompra_silver	URGENTE	17	boolean"
"useall_silver	solcompra_silver	URGENTE_DESC	18	text"
"useall_silver	solcompra_silver	IDCONTACDC	19	numeric"
"useall_silver	solcompra_silver	CLASSIFICACAO	20	text"
"useall_silver	solcompra_silver	DESCRICAO	21	text"
"useall_silver	unidades_silver	IDUN	1	bigint"
"useall_silver	unidades_silver	IDUNIDADETENANT	2	bigint"
"useall_silver	unidades_silver	DESCRICAO	3	text"
"useall_silver	unidades_silver	SIGLA	4	text"
"useall_silver	unidades_silver	SIGLAFCI	5	text"
"useall_silver	unidades_silver	DATAHORAALTERACAO	6	timestamp without time zone"
"useall_silver	unidades_silver	STATUS	7	text"
